system:index,ndbi,region,week_start,.geo
0,,dubai_creek_harbour,2015-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,,dubai_creek_harbour,2015-04-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,,dubai_creek_harbour,2015-04-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,,dubai_creek_harbour,2015-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,,dubai_creek_harbour,2015-04-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,,dubai_creek_harbour,2015-05-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,,dubai_creek_harbour,2015-05-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,,dubai_creek_harbour,2015-05-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,,dubai_creek_harbour,2015-05-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,,dubai_creek_harbour,2015-06-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,,dubai_creek_harbour,2015-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,,dubai_creek_harbour,2015-06-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,,dubai_creek_harbour,2015-06-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,,dubai_creek_harbour,2015-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,,dubai_creek_harbour,2015-07-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,,dubai_creek_harbour,2015-07-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,,dubai_creek_harbour,2015-07-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,,dubai_creek_harbour,2015-07-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,,dubai_creek_harbour,2015-08-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,,dubai_creek_harbour,2015-08-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,,dubai_creek_harbour,2015-08-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,,dubai_creek_harbour,2015-08-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,,dubai_creek_harbour,2015-09-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,,dubai_creek_harbour,2015-09-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,,dubai_creek_harbour,2015-09-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,,dubai_creek_harbour,2015-09-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,,dubai_creek_harbour,2015-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,,dubai_creek_harbour,2015-10-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,,dubai_creek_harbour,2015-10-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,,dubai_creek_harbour,2015-10-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,,dubai_creek_harbour,2015-10-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,,dubai_creek_harbour,2015-11-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,,dubai_creek_harbour,2015-11-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,,dubai_creek_harbour,2015-11-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,,dubai_creek_harbour,2015-11-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,,dubai_creek_harbour,2015-12-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,,dubai_creek_harbour,2015-12-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,,dubai_creek_harbour,2015-12-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,,dubai_creek_harbour,2015-12-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,,dubai_creek_harbour,2015-12-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,,dubai_creek_harbour,2016-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,,dubai_creek_harbour,2016-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,,dubai_creek_harbour,2016-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,,dubai_creek_harbour,2016-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,,dubai_creek_harbour,2016-02-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,,dubai_creek_harbour,2016-02-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,,dubai_creek_harbour,2016-02-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,,dubai_creek_harbour,2016-02-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,,dubai_creek_harbour,2016-03-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,,dubai_creek_harbour,2016-03-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,,dubai_creek_harbour,2016-03-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,,dubai_creek_harbour,2016-03-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,,dubai_creek_harbour,2016-03-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,,dubai_creek_harbour,2016-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,,dubai_creek_harbour,2016-04-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,,dubai_creek_harbour,2016-04-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,,dubai_creek_harbour,2016-04-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,,dubai_creek_harbour,2016-05-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,,dubai_creek_harbour,2016-05-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,,dubai_creek_harbour,2016-05-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,,dubai_creek_harbour,2016-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,,dubai_creek_harbour,2016-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,,dubai_creek_harbour,2016-06-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,,dubai_creek_harbour,2016-06-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,,dubai_creek_harbour,2016-06-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,,dubai_creek_harbour,2016-06-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,,dubai_creek_harbour,2016-07-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,,dubai_creek_harbour,2016-07-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,,dubai_creek_harbour,2016-07-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,,dubai_creek_harbour,2016-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,,dubai_creek_harbour,2016-08-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,,dubai_creek_harbour,2016-08-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,,dubai_creek_harbour,2016-08-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,,dubai_creek_harbour,2016-08-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,,dubai_creek_harbour,2016-08-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,,dubai_creek_harbour,2016-09-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,,dubai_creek_harbour,2016-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,,dubai_creek_harbour,2016-09-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,,dubai_creek_harbour,2016-09-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,,dubai_creek_harbour,2016-10-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,,dubai_creek_harbour,2016-10-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,,dubai_creek_harbour,2016-10-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,,dubai_creek_harbour,2016-10-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,,dubai_creek_harbour,2016-11-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,,dubai_creek_harbour,2016-11-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,,dubai_creek_harbour,2016-11-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,,dubai_creek_harbour,2016-11-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,,dubai_creek_harbour,2016-11-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,,dubai_creek_harbour,2016-12-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,,dubai_creek_harbour,2016-12-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,,dubai_creek_harbour,2016-12-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,,dubai_creek_harbour,2016-12-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,,dubai_creek_harbour,2017-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,,dubai_creek_harbour,2017-01-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,,dubai_creek_harbour,2017-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,,dubai_creek_harbour,2017-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,,dubai_creek_harbour,2017-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,,dubai_creek_harbour,2017-02-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,,dubai_creek_harbour,2017-02-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,,dubai_creek_harbour,2017-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,,dubai_creek_harbour,2017-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
